"Lunch Participation of Eligible Students"
2/15/2026

Year,Division,School,Level,Percent
"2023 - 2024","Spotsylvania County Public Schools","Battlefield Elementary",SCH,72.8
"2023 - 2024","Spotsylvania County Public Schools","Battlefield Middle",SCH,72.8
"2023 - 2024","Spotsylvania County Public Schools","Berkeley Elementary",SCH,78.1
"2023 - 2024","Spotsylvania County Public Schools","Brock Road Elementary",SCH,42.3
"2023 - 2024","Spotsylvania County Public Schools","Cedar Forest Elementary",SCH,64.5
"2023 - 2024","Spotsylvania County Public Schools","Chancellor Elementary",SCH,23
"2023 - 2024","Spotsylvania County Public Schools","Chancellor High",SCH,72.8
"2023 - 2024","Spotsylvania County Public Schools","Chancellor Middle",SCH,72.8
"2023 - 2024","Spotsylvania County Public Schools","Courthouse Road Elementary",SCH,48.5
"2023 - 2024","Spotsylvania County Public Schools","Courtland Elementary",SCH,43.6
"2023 - 2024","Spotsylvania County Public Schools","Courtland High",SCH,39.3
"2023 - 2024","Spotsylvania County Public Schools","Freedom Middle",SCH,43.5
"2023 - 2024","Spotsylvania County Public Schools","Harrison Road Elementary",SCH,72.8
"2023 - 2024","Spotsylvania County Public Schools","Lee Hill Elementary",SCH,69.6
"2023 - 2024","Spotsylvania County Public Schools","Livingston Elementary",SCH,64.4
"2023 - 2024","Spotsylvania County Public Schools","Massaponax High",SCH,69.7
"2023 - 2024","Spotsylvania County Public Schools","Ni River Middle",SCH,27.7
"2023 - 2024","Spotsylvania County Public Schools","Parkside Elementary",SCH,51.1
"2023 - 2024","Spotsylvania County Public Schools","Post Oak Middle",SCH,64.4
"2023 - 2024","Spotsylvania County Public Schools","Riverbend High ",SCH,29.1
"2023 - 2024","Spotsylvania County Public Schools","Riverview Elementary",SCH,69.7
"2023 - 2024","Spotsylvania County Public Schools","Salem Elementary",SCH,69.8
"2023 - 2024","Spotsylvania County Public Schools","Smith Station Elementary",SCH,70
"2023 - 2024","Spotsylvania County Public Schools","Spotswood Elementary",SCH,69.6
"2023 - 2024","Spotsylvania County Public Schools","Spotsylvania Elementary",SCH,42.8
"2023 - 2024","Spotsylvania County Public Schools","Spotsylvania High",SCH,64.4
"2023 - 2024","Spotsylvania County Public Schools","Spotsylvania Middle",SCH,42
"2023 - 2024","Spotsylvania County Public Schools","Thornburg Middle",SCH,64.4
"2023 - 2024","Spotsylvania County Public Schools","Wilderness Elementary",SCH,72.8
"2023 - 2024","Stafford County Public Schools","Andrew G. Wright Middle",SCH,35.7
"2023 - 2024","Stafford County Public Schools","Anne E. Moncure Elementary",SCH,76.5
"2023 - 2024","Stafford County Public Schools","Anthony Burns Elementary",SCH,76.5
"2023 - 2024","Stafford County Public Schools","Brooke Point High",SCH,39.4
"2023 - 2024","Stafford County Public Schools","Colonial Forge High",SCH,28.1
"2023 - 2024","Stafford County Public Schools","Conway Elementary",SCH,51.2
"2023 - 2024","Stafford County Public Schools","Donald B. Dixon-Lyle R. Smith Middle",SCH,36.4
"2023 - 2024","Stafford County Public Schools","Edward E. Drew Jr. Middle",SCH,76.5
"2023 - 2024","Stafford County Public Schools","Falmouth Elementary",SCH,76.6
"2023 - 2024","Stafford County Public Schools","Ferry Farm Elementary",SCH,48.7
"2023 - 2024","Stafford County Public Schools","Garrisonville Elementary",SCH,38.7
"2023 - 2024","Stafford County Public Schools","Grafton Village Elementary",SCH,36
"2023 - 2024","Stafford County Public Schools","H.H. Poole Middle",SCH,41.6
"2023 - 2024","Stafford County Public Schools","Hampton Oaks Elementary",SCH,32.9
"2023 - 2024","Stafford County Public Schools","Hartwood Elementary",SCH,31.2
"2023 - 2024","Stafford County Public Schools","Kate Waller Barrett Elementary",SCH,76.5
"2023 - 2024","Stafford County Public Schools","Margaret Brent Elementary ",SCH,23.9
"2023 - 2024","Stafford County Public Schools","Mountain View High ",SCH,24.9
"2023 - 2024","Stafford County Public Schools","North Stafford High",SCH,47.3
"2023 - 2024","Stafford County Public Schools","Park Ridge Elementary",SCH,33.8
"2023 - 2024","Stafford County Public Schools","Rockhill Elementary",SCH,37.3
"2023 - 2024","Stafford County Public Schools","Rocky Run Elementary",SCH,76.5
"2023 - 2024","Stafford County Public Schools","Rodney E. Thompson Middle",SCH,25.7
"2023 - 2024","Stafford County Public Schools","Shirley C. Heim Middle",SCH,56.5
"2023 - 2024","Stafford County Public Schools","Stafford Elementary",SCH,40.5
"2023 - 2024","Stafford County Public Schools","Stafford Middle",SCH,51.5
"2023 - 2024","Stafford County Public Schools","Stafford Senior High",SCH,40.8
"2023 - 2024","Stafford County Public Schools","T. Benton Gayle Middle",SCH,39.2
"2023 - 2024","Stafford County Public Schools","Widewater Elementary",SCH,76.5
"2023 - 2024","Stafford County Public Schools","Winding Creek Elementary",SCH,37
"2023 - 2024","Staunton City Public Schools","Arthur R. Ware Elementary",SCH,80.1
"2023 - 2024","Staunton City Public Schools","Bessie Weller Elementary",SCH,80.2
"2023 - 2024","Staunton City Public Schools","Shelburne Middle",SCH,80.1
"2023 - 2024","Staunton City Public Schools","Staunton High",SCH,80
"2023 - 2024","Staunton City Public Schools","Thomas C. McSwain Elementary",SCH,80
"2023 - 2024","Suffolk City Public Schools","Booker T. Washington Elementary",SCH,68.2
"2023 - 2024","Suffolk City Public Schools","Colonel Fred Cherry Middle",SCH,68.2
"2023 - 2024","Suffolk City Public Schools","Creekside Elementary",SCH,68.2
"2023 - 2024","Suffolk City Public Schools","Elephant's Fork Elementary",SCH,68.2
"2023 - 2024","Suffolk City Public Schools","Florence Bowser Elementary",SCH,68.3
"2023 - 2024","Suffolk City Public Schools","Forest Glen Middle",SCH,68.3
"2023 - 2024","Suffolk City Public Schools","Hillpoint Elementary",SCH,68.2
"2023 - 2024","Suffolk City Public Schools","John F. Kennedy Middle",SCH,68.3
"2023 - 2024","Suffolk City Public Schools","John Yeates Middle",SCH,68.2
"2023 - 2024","Suffolk City Public Schools","Kilby Shores Elementary",SCH,68.2
"2023 - 2024","Suffolk City Public Schools","King's Fork High",SCH,68.2
"2023 - 2024","Suffolk City Public Schools","King's Fork Middle",SCH,68.2
"2023 - 2024","Suffolk City Public Schools","Lakeland High",SCH,68.3
"2023 - 2024","Suffolk City Public Schools","Mack Benn Jr. Elementary",SCH,68.3
"2023 - 2024","Suffolk City Public Schools","Nansemond Parkway Elementary",SCH,68.3
"2023 - 2024","Suffolk City Public Schools","Nansemond River High",SCH,68.2
"2023 - 2024","Suffolk City Public Schools","Northern Shores Elementary",SCH,68.2
"2023 - 2024","Suffolk City Public Schools","Oakland Elementary",SCH,68.3
"2023 - 2024","Suffolk City Public Schools","Southwestern Elementary",SCH,68.3
"2023 - 2024","Surry County Public Schools","Luther P. Jackson Middle",SCH,94.2
"2023 - 2024","Surry County Public Schools","Surry County High",SCH,94.1
"2023 - 2024","Surry County Public Schools","Surry Elementary",SCH,94.2
"2023 - 2024","Sussex County Public Schools","Sussex Central Elementary",SCH,100
"2023 - 2024","Sussex County Public Schools","Sussex Central High",SCH,100
"2023 - 2024","Sussex County Public Schools","Sussex Central Middle",SCH,100
"2023 - 2024","Tazewell County Public Schools","Abb's Valley-Boissevain Elementary",SCH,86
"2023 - 2024","Tazewell County Public Schools","Cedar Bluff Elementary",SCH,86
"2023 - 2024","Tazewell County Public Schools","Dudley Primary",SCH,86
"2023 - 2024","Tazewell County Public Schools","Graham High",SCH,86.1
"2023 - 2024","Tazewell County Public Schools","Graham Intermediate",SCH,85.9
"2023 - 2024","Tazewell County Public Schools","Graham Middle",SCH,86.1
"2023 - 2024","Tazewell County Public Schools","Richlands Elementary",SCH,86.1
"2023 - 2024","Tazewell County Public Schools","Richlands High",SCH,86
"2023 - 2024","Tazewell County Public Schools","Richlands Middle",SCH,86
"2023 - 2024","Tazewell County Public Schools","Tazewell High",SCH,86.1
"2023 - 2024","Tazewell County Public Schools","Tazewell Intermediate",SCH,86
"2023 - 2024","Tazewell County Public Schools","Tazewell Middle",SCH,86.2
"2023 - 2024","Tazewell County Public Schools","Tazewell Primary",SCH,86
"2023 - 2024","Virginia Beach City Public Schools","Alanton Elementary",SCH,65.4
"2023 - 2024","Virginia Beach City Public Schools","Arrowhead Elementary",SCH,65.4
"2023 - 2024","Virginia Beach City Public Schools","Bayside Elementary",SCH,100
"2023 - 2024","Virginia Beach City Public Schools","Bayside High",SCH,83.4
"2023 - 2024","Virginia Beach City Public Schools","Bayside Middle",SCH,100
"2023 - 2024","Virginia Beach City Public Schools","Birdneck Elementary",SCH,74
"2023 - 2024","Virginia Beach City Public Schools","Brandon Middle",SCH,65.4
"2023 - 2024","Virginia Beach City Public Schools","Brookwood Elementary",SCH,65.3
"2023 - 2024","Virginia Beach City Public Schools","Centerville Elementary",SCH,31.6
"2023 - 2024","Virginia Beach City Public Schools","Christopher Farms Elementary",SCH,35.7
"2023 - 2024","Virginia Beach City Public Schools","College Park Elementary",SCH,100
"2023 - 2024","Virginia Beach City Public Schools","Corporate Landing Elementary",SCH,65.4
"2023 - 2024","Virginia Beach City Public Schools","Corporate Landing Middle",SCH,47.1
"2023 - 2024","Virginia Beach City Public Schools","Creeds Elementary",SCH,22.6
"2023 - 2024","Virginia Beach City Public Schools","Diamond Springs Elementary",SCH,93.1
"2023 - 2024","Virginia Beach City Public Schools","Fairfield Elementary",SCH,41.5
"2023 - 2024","Virginia Beach City Public Schools","First Colonial High",SCH,35.4
"2023 - 2024","Virginia Beach City Public Schools","Floyd Kellam High",SCH,14
"2023 - 2024","Virginia Beach City Public Schools","Frank W. Cox High",SCH,28.4
"2023 - 2024","Virginia Beach City Public Schools","Glenwood Elementary",SCH,43.5
"2023 - 2024","Virginia Beach City Public Schools","Great Neck Middle",SCH,30.1
"2023 - 2024","Virginia Beach City Public Schools","Green Run Collegiate",SCH,83.5
"2023 - 2024","Virginia Beach City Public Schools","Green Run Elementary",SCH,73.9
"2023 - 2024","Virginia Beach City Public Schools","Green Run High",SCH,83.4
"2023 - 2024","Virginia Beach City Public Schools","Hermitage Elementary",SCH,44
"2023 - 2024","Virginia Beach City Public Schools","Holland Elementary",SCH,100
"2023 - 2024","Virginia Beach City Public Schools","Independence Middle",SCH,48.9
"2023 - 2024","Virginia Beach City Public Schools","Indian Lakes Elementary",SCH,40
"2023 - 2024","Virginia Beach City Public Schools","John B. Dey Elementary",SCH,21.1
"2023 - 2024","Virginia Beach City Public Schools","Kempsville Elementary",SCH,40
"2023 - 2024","Virginia Beach City Public Schools","Kempsville High",SCH,43.6
"2023 - 2024","Virginia Beach City Public Schools","Kempsville Meadows Elementary",SCH,45.6
"2023 - 2024","Virginia Beach City Public Schools","Kempsville Middle",SCH,40.2
"2023 - 2024","Virginia Beach City Public Schools","King's Grant Elementary",SCH,74
"2023 - 2024","Virginia Beach City Public Schools","Kingston Elementary",SCH,10.6
"2023 - 2024","Virginia Beach City Public Schools","Landstown Elementary",SCH,44.4
"2023 - 2024","Virginia Beach City Public Schools","Landstown High",SCH,39.5
"2023 - 2024","Virginia Beach City Public Schools","Landstown Middle",SCH,40.9
"2023 - 2024","Virginia Beach City Public Schools","Larkspur Middle",SCH,74
"2023 - 2024","Virginia Beach City Public Schools","Linkhorn Park Elementary",SCH,65.4
"2023 - 2024","Virginia Beach City Public Schools","Luxford Elementary",SCH,74.1
"2023 - 2024","Virginia Beach City Public Schools","Lynnhaven Elementary",SCH,93.2
"2023 - 2024","Virginia Beach City Public Schools","Lynnhaven Middle",SCH,74.1
"2023 - 2024","Virginia Beach City Public Schools","Malibu Elementary",SCH,65.3
"2023 - 2024","Virginia Beach City Public Schools","New Castle Elementary",SCH,25.7
"2023 - 2024","Virginia Beach City Public Schools","Newtown Elementary",SCH,100
"2023 - 2024","Virginia Beach City Public Schools","North Landing Elementary",SCH,19.8
"2023 - 2024","Virginia Beach City Public Schools","Ocean Lakes Elementary",SCH,34.3
"2023 - 2024","Virginia Beach City Public Schools","Ocean Lakes High",SCH,30.8
"2023 - 2024","Virginia Beach City Public Schools","Old Donation School",SCH,14.6
"2023 - 2024","Virginia Beach City Public Schools","Parkway Elementary",SCH,83.4
"2023 - 2024","Virginia Beach City Public Schools","Pembroke Elementary",SCH,73.9
"2023 - 2024","Virginia Beach City Public Schools","Pembroke Meadows Elementary",SCH,65.4
"2023 - 2024","Virginia Beach City Public Schools","Plaza Middle",SCH,46.3
"2023 - 2024","Virginia Beach City Public Schools","Point O' View Elementary",SCH,93.1
"2023 - 2024","Virginia Beach City Public Schools","Princess Anne Elementary",SCH,9.9
"2023 - 2024","Virginia Beach City Public Schools","Princess Anne High",SCH,34
"2023 - 2024","Virginia Beach City Public Schools","Princess Anne Middle",SCH,15.1
"2023 - 2024","Virginia Beach City Public Schools","Providence Elementary",SCH,41.8
"2023 - 2024","Virginia Beach City Public Schools","Red Mill Elementary",SCH,14.5
"2023 - 2024","Virginia Beach City Public Schools","Rosemont Elementary",SCH,93.2
"2023 - 2024","Virginia Beach City Public Schools","Rosemont Forest Elementary",SCH,30.8
"2023 - 2024","Virginia Beach City Public Schools","Salem Elementary",SCH,37.9
"2023 - 2024","Virginia Beach City Public Schools","Salem High",SCH,35.9
"2023 - 2024","Virginia Beach City Public Schools","Salem Middle",SCH,37.4
"2023 - 2024","Virginia Beach City Public Schools","Seatack Elementary an Achievable Dream Academy",SCH,100
"2023 - 2024","Virginia Beach City Public Schools","Shelton Park Elementary",SCH,49.1
"2023 - 2024","Virginia Beach City Public Schools","Strawbridge Elementary",SCH,21.1
"2023 - 2024","Virginia Beach City Public Schools","Tallwood Elementary",SCH,47.2
"2023 - 2024","Virginia Beach City Public Schools","Tallwood High",SCH,43.5
"2023 - 2024","Virginia Beach City Public Schools","Thalia Elementary",SCH,74
"2023 - 2024","Virginia Beach City Public Schools","Thoroughgood Elementary",SCH,19.4
"2023 - 2024","Virginia Beach City Public Schools","Three Oaks Elementary",SCH,19
"2023 - 2024","Virginia Beach City Public Schools","Trantwood Elementary",SCH,26.2
"2023 - 2024","Virginia Beach City Public Schools","Virginia Beach Middle",SCH,65.5
"2023 - 2024","Virginia Beach City Public Schools","W.T. Cooke Elementary",SCH,74
"2023 - 2024","Virginia Beach City Public Schools","White Oaks Elementary",SCH,60.8
"2023 - 2024","Virginia Beach City Public Schools","Williams Elementary",SCH,100
"2023 - 2024","Virginia Beach City Public Schools","Windsor Oaks Elementary",SCH,74.1
"2023 - 2024","Virginia Beach City Public Schools","Windsor Woods Elementary",SCH,47.4
"2023 - 2024","Virginia Beach City Public Schools","Woodstock Elementary",SCH,65.4
"2023 - 2024","Warren County Public Schools","A.S. Rhodes Elementary",SCH,70.9
"2023 - 2024","Warren County Public Schools","E. Wilson Morrison Elementary",SCH,70.8
"2023 - 2024","Warren County Public Schools","Hilda J. Barbour Elementary",SCH,70.8
"2023 - 2024","Warren County Public Schools","Leslie Fox Keyser Elementary",SCH,70.7
"2023 - 2024","Warren County Public Schools","Ressie Jeffries Elementary",SCH,70.8
"2023 - 2024","Warren County Public Schools","Skyline High",SCH,70.8
"2023 - 2024","Warren County Public Schools","Skyline Middle",SCH,70.8
"2023 - 2024","Warren County Public Schools","Warren County High",SCH,70.8
"2023 - 2024","Warren County Public Schools","Warren County Middle",SCH,70.8
"2023 - 2024","Washington County Public Schools","Abingdon Elementary",SCH,73.8
